C7E6210BCC993E131C6B11EC9D38E3E4,Happy Birthdays Demo (EUR USA),null
C141BE261D937AE59BEA0E7B82572060,スーパーガチャポンワールド SDガンダムX (JPN),null
8390CD9D30D4C5CE990CDDF53A235744,Out of The Box (EUR USA),null
B562FBF831DED9A995A48324FB946776,Resident Evil Revelations (EUR JPN USA),null
F7C1314999B61493383F5832F49291E5,Vesta (EUR USA),null
5B88E4A621D2D51AFC4B298537ADD16A,リーグ オブ イーブル　体験版 (JPN),null
4939134C79CB53CD24A60D8CEB3FDB3A,Monkey King - Master of the Clouds (EUR USA),null
B565240121DD438B887EA02744FF05FD,TouchBattleTankSP (USA),null
00FB98F718BE3501DF21305CBA922135,MotoGP™18 (EUR USA),null
539D575B96E556159C3F4667D1100DDD,PICROSS S (EUR JPN USA),null
89976CF99C2D560E2FD7558A3DBF15CF,Qbics Paint (EUR JPN USA),null
631F55DD98804D69C9A5109DA9A7406F,フラッシュバック (JPN),null
0140C3DDFCFE7D64842623F239AB66CF,Cartoon Network - Battle Crashers (EUR),null
572D02512AB739BE9FB65B0DF8B9DC91,The Journey Down - Chapter Three (EUR USA),null
AB54B04A70D8CA9851FFDEE1984EFFDD,Fernz Gate (EUR JPN USA),null
7E22E2355B28E6DFA2672EC9473F0283,カイジ～絶望の鉄骨渡り～ for Nintendo Switch (JPN),null
BF394BCB56D17CDAF43599EC3A1F605F,The Escapists 2 (EUR JPN USA),null
C4E9854DE59E1AAD6BFE8091E8A5B77D,World of Goo (EUR USA),null
1A5F7AAF45E3DD64BDCDAFDB1777732A,ACA NEOGEO ART OF FIGHTING (EUR JPN USA),null
412E0591DD033E78737A4B6DC2C70E50,ARMS™ Global Testpunch (EUR JPN USA),null
CD0626EEC8F3F550555920AC62B4A285,トトリのアトリエ ～アーランドの錬金術士２～ DX (JPN),null
04DA07D47A593470B8CAAEAC9A640B37,Pirates - All Aboard! (EUR USA),null
530067909FDC14FC5B146A2E7D1BE61F,Danmaku Unlimited 3 (EUR USA),null
521F35B14D61B10C2F76FC3F3485F15C,Hacky Zack (EUR USA),null
19BBFF03D8CEB6D0CA13B29D53D92453,プランテラ ガーデンライフ DXエディション 体験版 (JPN),null
8C2E6810B8407240E08629DAB4DE12CF,Champion Jockey Special (JPN),null
C0A78597A50E33173F63BF19B17549D9,Darkest Dungeon (JPN),null
B078B511A5B781471916CCD172F8038E,Yooka-Laylee (EUR USA),null
191C20337883858067A130FCA4076A04,Figment (EUR USA),null
C2B49A475DF5A340494292A1BD398579,Stardew Valley (EUR JPN USA),星露谷物语
09AD996C05A9B3DAAC88F873AEABB3D5,Piczle Lines DX 500 More Puzzles! (EUR JPN USA),null
2343CD64577EE90EBCEE82E0CE8DEBBB,Touhou Genso Wanderer Reloaded (EUR USA),null
C3B4869C14F86DE0A1D8CB153002F6B4,PICROSS S2 (EUR JPN USA),null
EFD0FBB3F99D2E0C38D3D370E0E8C474,Chess Ultra (EUR USA),null
84C5FEEB705165D2D6FEBB9C63AD7443,翔べよ!!ドラゴン！ (JPN),null
2F7C6EC5B3EF50082696B50B5C484D9A,Heroki (EUR USA),null
38236DD6F3CF1F60A8998C836EE22216,LUMINES REMASTERED (EUR JPN USA),null
3AD281EA44043EA3644CAA002020126B,Beat Rush (EUR USA),null
E101E6CD240F5E838BC8C0014D43B12E,モザイクアート Fill-a-Pix DELUXE 体験版 (JPN),null
8AE216822D4FABD3E275AD5C38C82319,NARUTO－ナルト－ 疾風伝　ナルティメットストーム２ (JPN),null
CF18F30BF66FC752ABAB838588ECB209,ロジック麻雀 創龍 四人打ち・三人打ち (JPN),null
E098AAA9241EB5A3787DC8E0E327C41F,Lost Phones Stories (EUR USA),null
865A8E5F421C4ECB44AAF74103543C55,Samurai Aces for Nintendo Switch™ (EUR JPN USA),null
B8FB582EF7E9442433EFFC308A93CD77,アケアカNEOGEO ザ・キング・オブ・ファイターズ '98 (EUR JPN USA),null
2B49D345A40634C8DCA18FCC5864269A,Party Planet (USA),null
B2BD6413B8C0F4358723844BA56F77F3,Plague Road (JPN),null
3D8E1DE4D671F7453AFA0C395B825E90,Crash Bandicoot™ N. Sane Trilogy (EUR USA),null
425F100AE1CC2BC7A564731CA01E2A74,SubaraCity (EUR JPN USA),null
E84DDD08AF543D1912A44E015F43C8B8,Bleed 2 (EUR USA),null
7B7655CD0E6F3029DD177EEDF97A732A,Goetia (EUR USA),null
41F4347C8B88E1EC168430EA7BAEB915,Layers of Fear - Legacy (EUR USA),null
7209F0B9FB7024704F974FCA2177E987,6180 the moon (EUR USA),null
5A1BE85591FCAA33E8997B3FDF5F3091,Legend of Kay Anniversary (EUR USA),null
968FD6E57894C931FAEFB9248B8E3104,リトルドラゴンズカフェ -ひみつの竜とふしぎな島- (JPN),null
2A2CE6B562081D40487406FA50973309,Wild Guns™ Reloaded (EUR USA),null
2C912087C21A306D0534D160A0A1CC50,Yono and the Celestial Elephants (EUR USA),null
137F1F87B42CDB57FF1C25E87A70FA1E,リトルインフェルノ (JPN),null
3818AF90B60DD3194A63102CCA808EAF,ドラゴンクエストヒーローズI・II for Nintendo Switch 体験版 (JPN),null
86C14151EAC920165D017C83A8A5AAE9,Kingdom - New Lands (EUR JPN USA),null
9BE2E7CC575C13232B849CB11C393CD5,Elliot Quest (EUR JPN USA),null
E769E2D93519E8D860445ED00A4A5E3D,Slime-san Demo (EUR USA),null
